,paragraph,length
0,中国货币政策执行报告二○一○年第三季度中国人民银行货币政策分析小组2010年11月2日内容摘要2010年第三季度，中国经济继续朝着宏观调控的预期方向发展，经济平稳较快发展的势头进一步巩固。消费平稳较快增长，投资结构有所改善，对外贸易继续恢复，消费、投资、出口拉动经济增长的协调性增强；农业生产稳定发展，工业产销衔接状况良好，居民消费价格继续上涨。前三季度，实现国内生产总值（GDP）26.9万亿元，同比增长10.6，第三季度同比增长9.6；居民消费价格指数(CPI)同比上涨2.9，第三季度同比上涨3.5。中国人民银行按照国务院统一部署，继续实施适度宽松的货币政策，并着力提高政策的针对性、灵活性和有效性，加强银行体系流动性管理，适时上调存贷款基准利率，引导金融机构合理把握信贷投放总量、节奏和结构，继续稳步推进金融企业改革，进一步推进人民币汇率形成机制改革，改进外汇管理，促进经济金融平稳健康发展。总体看，金融运行平稳，人民币汇率弹性增强，9月末货币信贷增速有所反弹。,435.0
1,2010年9月末，广义货币供应量M2余额为69.6万亿元，同比增长19.0，增速比6月末高0.5个百分点。狭义货币供应量M1余额为24.4万亿元，同比增长20.9，增速比6月末低3.7个百分点。金融机构存款增长较快，9月末，全部金融机构本外币各项存款同比增长19.8，增速比6月末高1.2个百分点。金融机构人民币贷款增速稳中趋升。9月末，人民币贷款余额同比增长18.5，增速比6月末高0.3个百分点，比年初增加6.3万亿元，同比少增2.4万亿元。,223.0
2,金融机构贷款利率继续小幅上升，9月份非金融性企业及其他部门贷款加权平均利率为5.59，比6月份上升0.02个百分点。9月末，人民币对美元汇率中间价为6.7011元，比2010年6月19日升值1.89，比2009年年末升值1.90。下一阶段，国民经济有望继续保持平稳较快增长的态势。全球经济已步出金融危机的最坏阶段，整体仍将延续缓慢复苏的态势。国内消费升级和城镇化都在发展过程中，经济持续增长的动能较为充足。,203.0
3,但也要看到，世界经济运行中的不确定因素不时出现，发达经济体复苏有所放缓，货币条件持续宽松，部分新兴经济体增长较快，但面临通胀和资本流入压力。我国内需回升的基础还不平衡，民间投资和内生增长动力仍需强化，持续扩大居民消费、改善收入分配、促进经济结构调整优化的任务依然艰巨。价格走势的不确定性较大，需加强通胀预期管理。中国人民银行将继续认真贯彻落实科学发展观，按照国务院统一部署，继续实施适度宽松的货币政策，把握好政策实施的力度、节奏、重点，在保持政策连续性和稳定性的同时，增强针对性和灵活性，根据形势发展要求，继续引导货币条件逐步回归常态水平。处理好保持经济平稳较快发展、调整经济结构和管理好通胀预期的关系。,302.0
4,综合运用多种货币政策工具，加强流动性管理，在引导货币信贷适度增长的同时不断优化信贷结构，维护价格总水平稳定，提高金融支持经济发展的可持续性，促进金融体系健康稳定运行。稳步推进利率市场化改革，进一步完善人民币汇率形成机制，推动金融市场健康发展。强化市场配置资源功能，进一步加强政策协调配合，优化政策组合，充分运用有弹性的市场化手段，着力于体制机制改革和经济结构调整，加快转变经济增长方式，进一步提高经济发展的内生动力。一、货币供应量增速有所回升2010年9月末，广义货币供应量M2余额为69.6万亿元，同比增长19.0，增速比6月末高0.5个百分点。狭义货币供应量M1余额为24.4万亿元，同比增长20.9，增速比6月末低3.7个百分点。,318.0
5,流通中现金M0余额为4.2万亿元，同比增长13.8，增速比6月末低1.9个百分点。第三季度现金净投放2952亿元，同比少投放195亿元。货币总量增长总体有所回升。M2增速8、9月份持续于19以上的较高水平运行，均超过6月末增速，近期货币总量增速有所抬头的态势值得关注。M1增速逐步放缓，主要与上年基数较高有关，第三季度回落幅度则明显减缓。,169.0
6,"目前，M1增速仍持续高于M2增速。二、金融机构存款增长较快9月末，全部金融机构（含外资金融机构，下同）本外币各项存款余额为71.6万亿元，同比增长19.8，增速比6月末高1.2个百分点,比年初增加10.4万亿元，同比少增1.4万亿元。其中，人民币各项存款余额为70.1万亿元，同比增长20.0，增速比6月末高1.0个百分点，比年初增加10.3万亿元，同比少增1.4万亿元。8、9月份存款分别增加1.1万亿元和1.5万亿元，连续两个月维持在1万亿元以上，整个社会的流动性仍较为充裕，这与近期外汇占款增加较多、贷款投放偏快等因素有关。外币存款余额为2298亿美元，同比增长13.1，比年初增加212亿美元，同比少增107亿美元。",312.0
7,从人民币存款的部门分布和期限看，住户存款增长逐步加快，活期占比显著提高；非金融企业存款增速稳步回升，企业存款期限结构变化较大。9月末，金融机构住户存款余额为30.4万亿元，同比增长17.0，增速比3月末和6月末分别高1.9个和1.8个百分点，比年初增加3.9万亿元，同比多增1438亿元。非金融企业人民币存款余额为28.8万亿元，同比增长20.5，增速比3月末低6.1个百分点，比6月末则提升1.0个百分点，比年初增加3.6万亿元，同比少增2.5万亿元，其中第三季度增加6824亿元，同比多增1733亿元。第三季度，新增住户存款中活期占比为55，分别比第一季度和第二季度提升3.9个和12.7个百分点，呈逐步上升态势。第三季度，非金融企业存款中定期占比达到82，比上半年高30个百分点。,343.0
8,主要是9月份非金融企业存款结构变动较大，定期存款新增6826亿元，而活期存款减少3167亿元。与往年同期相比，当月非金融企业存款结构变动仍属正常，主要受假日季节性因素等影响，如企业节前集中发放工资、奖金，部分企业于节前将活期存款转为定期通知存款以提升收益等。9月末，财政存款余额为3.4万亿元，同比增长19.6，比年初增加1.2万亿元，同比多增1203亿元。三、金融机构人民币贷款增速稳中趋升9月末，全部金融机构本外币贷款余额为49.1万亿元，同比增长18.7，增速比6月末低0.5个百分点，比年初增加6.5万亿元，同比少增2.8万亿元。本外币中长期贷款主要投向基础设施行业（交通运输、仓储和邮政业，电力、燃气及水的生产和供应业，水利、环境和公共设施管理业）、房地产业、制造业。,339.0
9,第三季度，主要金融机构（包括国家开发银行和政策性银行、国有商业银行、股份制商业银行、邮政储蓄银行、城市商业银行）投向这三个行业的本外币中长期贷款分别为3723亿元、1547亿元和935亿元，占全部产业新增中长期贷款的比重分别为45.6、18.9和11.4。,128.0
10,对“三农”的信贷支持进一步增强。9月末，主要金融机构及农村合作金融机构、城市信用社、村镇银行和财务公司本外币农村贷款余额9.3万亿元，同比增长30.3，高出同期各项贷款增速11.6个百分点；农户贷款余额2.6万亿元，同比增长29.8，高出同期各项贷款增速11.1个百分点；农林牧渔业贷款余额2.3万亿元，同比增长19.4，高出同期各项贷款增速0.7个百分点。人民币贷款增速有所反弹。9月末，人民币贷款余额为46.3万亿元，同比增长18.5，增速比6月末提升0.3个百分点，比年初增加6.3万亿元。尽管前三季度人民币贷款同比少增2.4万亿元，但增速自6月份以来呈现总体稳中趋升态势，第三季度各月增量均保持同比多增。,306.0
11,近期贷款投放出现一定反弹，一方面受中小企业、房地产、项目投资等贷款需求仍相对较强影响；另一方面也与金融机构贷款投放意愿增强有关，尤其是部分银行在存贷比、资本充足率等监管指标逐步达标后，信贷加快投放情况更为突出。,105.0
12,分机构看，中资四家大型银行贷款投放相对偏多，第三季度增量在全部机构中占比达到40，比上半年提高1个百分点。从部门分布看，住户贷款保持较快增长，非金融企业及其他部门贷款增速有所回升。9月末，住户贷款余额同比增长42.2，增速比6月末低7.1个百分点，2010年以来持续维持较高水平增长，比年初增加2.4万亿元，同比多增5277亿元。主要是个人住房贷款增加较多，比年初增加1.1万亿元，在住户贷款中占比为45。其中9月份新增804亿元，比上月多增265亿元，为5月份以来首次月度增量环比上升。,244.0
13,随着第三季度以来部分地区楼市有所回暖，住房贷款增长走势仍需密切关注。非金融企业及其他部门贷款余额同比增长12.8，比年初增加3.9万亿元，同比少增2.9万亿元。其中，中长期贷款比年初增加3.6万亿元，同比少增6713亿元。票据融资比年初减少8098亿元，同比少增1.7万亿元。中小企业信贷支持力度继续加大。,153.0
14,银行业机构中小企业人民币贷款比年初增加2.6万亿元，9月末余额同比增长20.5，其中，小企业贷款比年初增加1.3万亿元，9月末余额同比增长27.7，增速比中型企业高12.0个百分点，比大型企业高15.2个百分点。,106.0
15,9月末，金融机构外币贷款余额为4227亿美元，同比增长23.1，比年初增加432亿美元，同比少增564亿美元。分季度看，外币贷款第一季度大幅增加292亿美元，同比多增377亿美元，但第二季度后外币贷款投放有所放缓，这可能与商业银行外币资金头寸相对紧张等因素有一定关系。其中，第二季度增量明显回落至30亿美元，同比少增572亿美元，第三季度外币贷款则有所回升，当季增加110亿美元，同比仍少增370亿美元。境外贷款比年初增加187亿元，同比少增72亿美元。2010年以来，境外贷款逐季增加，前三个季度分别新增17亿美元、46亿美元和124亿美元，其中第二季度和第三季度均超过同期外币贷款增量，支持企业“走出去”的力度明显加大。,312.0
16,四、银行体系流动性总体充裕9月末，基础货币余额为16.1万亿元，同比增长20.9，比年初增加1.7万亿元。9月末，货币乘数为4.32，比3月末和6月末分别低0.03和0.05。9月末，金融机构超额准备金率为1.7。其中，中资大型银行为1.4，中资中型银行为1.1，中资小型银行为2.4，农村信用社为4.0。五、金融机构贷款利率继续小幅上升金融机构对非金融性企业及其他部门贷款利率继续小幅上升。,196.0
17,9月份，贷款加权平均利率为5.59，比6月份上升0.02个百分点。其中，一般贷款加权平均利率为6.09，比6月份上升0.10个百分点；票据融资加权平均利率为3.86，比6月份上升0.09个百分点。个人住房贷款利率稳步上升，9月份加权平均利率为5.03，比6月份上升0.08个百分点。从利率浮动情况看，执行下浮和基准利率的贷款占比下降，执行上浮利率的贷款占比上升。9月份，执行下浮、基准利率的贷款占比分别为25.54和30.19，比6月份分别下降2.18个和0.70个百分点，执行上浮利率的贷款占比为44.27，比6月份上升2.88个百分点。,270.0
18,受境内资金供求关系变动以及国际金融市场利率走势影响，外币存款利率总体走高，贷款利率小幅下降。9月份，3个月以内大额美元存款加权平均利率为1.93，比6月份上升0.17个百分点；3个月以内、3（含3个月）-6个月美元贷款加权平均利率分别为2.30和2.46，比6月份分别下降0.09个和0.35个百分点。六、人民币汇率弹性增强2010年初至6月19日，为应对全球金融危机，人民币汇率保持基本稳定。2010年6月19日进一步推进人民币汇率形成机制改革以来，人民币小幅升值，双向浮动特征明显，汇率弹性进一步增强。9月末，人民币对美元汇率中间价为6.7011元，比2010年6月19日升值1264个基点，升值幅度为1.89，比2009年年末升值1271个基点，升值幅度为1.90；人民币对欧元、日元汇率中间价分别为1欧元兑9.1329元人民币、100日元兑7.9999元人民币，较2009年年末分别升值7.27和贬值7.77。,409.0
19,汇改以来至2010年9月末，人民币对美元汇率累计升值23.51，对欧元汇率累计升值9.65，对日元汇率累计贬值8.68。根据国际清算银行的计算，汇改以来至2010年9月，人民币名义有效汇率升值14.8，实际有效汇率升值22.3。2010年前三季度，人民币对美元汇率中间价最高为6.6936元，最低为6.8284元，181个交易日中97个交易日升值、6个交易日持平、78个交易日贬值。最大单日升值幅度295个基点（折合0.43），最大单日贬值幅度247个基点（折合0.36）。法、样本货币范围和贸易权重等相关参数，因而得出的结果存在一定差异。,270.0
20,世界上主要国家和地区都在计算自己的有效汇率并作为参考。例如，美联储一直以来对外公布自己计算的美元名义和实际有效汇率，按不同货币篮子名义和实际有效汇率各自有三个指数，分别是包含所有贸易伙伴货币的广义指数（TheBroadIndex）、仅包含主要货币的主要货币指数（TheMajorCurrenciesIndex）以及其他重要贸易伙伴指数（OtherImportantTradingPartnersIndex），以反映美元对不同贸易伙伴群体的竞争力，这些指数在世界范围被广泛引用。又比如，市场推测新加坡金管局选取大约19种货币作为篮子计算名义有效汇率，主要考虑贸易重要性和经济竞争关系，并直接将名义有效汇率作为货币政策的调控指标。而俄罗斯仅选择美元和欧元两种货币作为篮子计算有效汇率，简洁明了地反映卢布对主要贸易伙伴的竞争力。部分国际机构还使用统一篮子计算多种主要货币的有效汇率，以便对这些货币的价值变化进行比较。,405.0
21,例如国际货币基金组织（IMF）在国际货币统计（IFS）中统一公布其计算的各成员国货币的有效汇率数据，但更新较为缓慢。使用更为广泛的是国际清算银行（BIS）计算的数据，每月15日BIS会在其网站上公布58种货币（包括欧元及欧元区17个成员国货币）截至上月的名义和实际有效汇率。BIS计算的人民币名义和实际有效汇率自1994年至2010年9月已累计升值34.9和57.5。人民币实际有效汇率升幅在BIS测算的58个经济体货币中位列前10位。由于有效汇率在衡量汇率水平方面更具科学性，因此有效汇率调整与双边汇率调整相比，更能发挥调节进出口、经常项目及国际收支的作用。,280.0
22,当前中国主要贸易伙伴呈现明显的多元化特征，2010年前三季度对美贸易在中国外贸总量中占比仅为13.0，对欧盟、日本和东盟所占比例分别为16.3、10.0和9.8。不仅贸易伙伴多元化，而且贸易计价货币也在逐步多元化，尽管美元仍是主要结算货币，但部分贸易已以欧元、日元等货币计价后再折算为美元。与双边汇率相比，有效汇率更能代表企业贸易计价和结算的实际汇率水平，对企业财务和经营决策更具参考意义。一、适时适度开展公开市场操作2010年第三季度，中国人民银行密切监测国内外经济金融形势和银行体系流动性变化，按照货币调控的总体要求灵活开展公开市场操作，加强银行体系流动性管理，保持银行体系流动性合理充裕。,297.0
23,一是合理把握公开市场操作规模与节奏。中国人民银行加强对银行体系流动性供求情况和市场环境的分析监测，灵活开展公开市场操作，实现了银行体系流动性供求的合理均衡。第三季度共发行央行票据约1.2万亿元，开展正回购操作3430亿元；9月末，央行票据余额约为4.1万亿元。,130.0
