,paragraph,length
0,中国货币政策执行报告2022年第三季度中国人民银行货币政策分析小组2022年11月16日内容摘要今年以来，在以习近平同志为核心的党中央坚强领导下，我国高效统筹疫情防控和经济社会发展，有效实施宏观政策，最大程度稳住经济社会发展基本盘。,116.0
1,国民经济明显回升，2022年第三季度国内生产总值（GDP）同比增长3.9%，比第二季度加快3.5个百分点；前三季度居民消费价格指数（CPI）同比上涨2.0%，在全球高通胀背景下继续保持物价形势的基本稳定。,102.0
2,中国人民银行坚持以习近平新时代中国特色社会主义思想为指导，坚决贯彻党中央、国务院的决策部署，稳字当头、稳中求进，扎实落实稳经济一揽子政策和接续措施，加大稳健货币政策实施力度，坚决支持稳住经济大盘。,98.0
3,一是保持流动性合理充裕。运用再贷款再贴现、中期借贷便利（MLF）、公开市场操作等多种方式投放流动性；提前完成上缴央行结存利润1.13万亿元；增强信贷总量增长的稳定性，在3000亿元政策性开发性金融工具已落到项目的基础上再增加3000亿元以上额度。,123.0
4,二是持续发挥结构性货币政策工具作用。落实好普惠小微贷款支持工具、碳减排支持工具和其他专项再贷款投放，截至9月末，科技创新、普惠养老、交通物流专项再贷款合计已发放超900亿元，设立额度2000亿元以上的设备更新改造专项再贷款。,112.0
5,三是持续深化利率市场化改革，发挥贷款市场报价利率（LPR）改革效能和指导作用。8月公开市场操作利率下行10个基点，带动1年期和5年期以上LPR分别下行5个、15个基点；9月阶段性放宽部分城市首套住房贷款利率下限，下调首套个人住房公积金贷款利率0.15个百分点。建立存款利率市场化调整机制，稳定银行负债成本。,153.0
6,四是把握好内外平衡。深化汇率市场化改革，坚持市场在人民币汇率形成中起决定性作用，增强人民币汇率弹性，加强宏观审慎管理和预期管理，发挥汇率调节宏观经济和国际收支自动稳定器功能。,87.0
7,五是牢牢守住不发生系统性金融风险的底线，坚持市场化法治化原则处置风险，促进金融风险持续收敛。总体来看，稳健的货币政策灵活适度，保持连续性、稳定性、可持续性，政策传导效率增强，金融支持实体经济质效进一步提升。信贷总量增长稳定性增强，1-9月新增人民币贷款18.08万亿元，同比多增1.36万亿元；9月末人民币贷款、广义货币（M2）、社会融资规模存量同比分别增长11.2%、12.1%和10.6%。信贷结构持续优化，9月末普惠小微贷款和制造业中长期贷款余额同比分别增长24.6%和30.8%。贷款利率稳中有降，9月企业贷款加权平均利率为4.0%，同比下降0.59个百分点，处于有统计以来低位。,294.0
8,外汇市场平稳运行，人民币汇率预期总体平稳。当前外部环境更趋复杂严峻，海外通胀高位运行，全球经济下行风险加大，国内经济恢复发展的基础还不牢固。但要看到，我国构建新发展格局的要素条件较为充足，有效需求恢复的势头日益明显，经济韧性强、潜力大、回旋余地广，长期向好的基本面没有改变。要保持战略定力，坚定做好自己的事。下一阶段，中国人民银行将坚持以习近平新时代中国特色社会主义思想为指导，深入学习贯彻党的二十大精神，着力构建高水平社会主义市场经济体制，全面推进中国式现代化。,232.0
9,按照党中央、国务院的决策部署，坚持稳字当头、稳中求进，深化金融体制改革，建设现代中央银行制度，抓好政策措施落实，着力稳就业稳物价，发挥有效投资的关键作用，巩固和拓展经济回稳向上态势，推动经济实现质的有效提升和量的合理增长。,111.0
