,paragraph,length
0,中国货币政策执行报告二○○四年第二季度中国人民银行货币政策分析小组2004年8月9日内容摘要2004年上半年，全球经济持续复苏，通货膨胀风险加大，部分央行货币政策重点转向防止通货膨胀。我国宏观调控各项措施逐步落实并见到成效，经济中的不稳定、不健康因素得到遏制，国民经济保持了较快增长，呈现出速度比较快、效益比较好、活力比较强的发展态势。上半年，国内生产总值同比增长9.7%。6月末，广义货币M2余额23.8万亿元，同比增长16.2%，增幅比上年同期低4.6个百分点。全部金融机构人民币贷款增加1.43万亿元，同比少增3536亿元，比2002年同期多增6000亿元。,282.0
1,人民币各项存款增加2.17万亿元，同比少增1784亿元。基础货币余额为5.13万亿元，增长19.2%，增幅比上年末提高2.4个百分点。国家外汇储备为4706亿美元，比上年末增加674亿美元；人民币汇率为1美元兑换8.2766元人民币，继续保持稳定。人民银行认真贯彻落实党中央、国务院关于经济金融工作一系列方针政策，继续执行稳健的货币政策，主要运用经济手段加强总量调控，同时积极配合国家产业政策加强信贷投向引导，促进信贷结构调整，保持国民经济健康发展。,225.0
2,一是灵活开展公开市场操作，调控金融体系流动性；二是再次提高法定存款准备金率；三是建立再贷款浮息制度和差别存款准备金率制度；四是稳步推进利率市场化改革；五是加强窗口指导，引导优化贷款结构；六是大力发展金融市场；七是支持金融企业财务重组，加快推进金融企业改革；八是促进国际收支平衡，保持人民币汇率在合理、均衡水平上的基本稳定。2004年下半年，人民银行将根据党中央、国务院的部署，牢固树立和认真落实科学的发展观，进一步落实中央确定的各项宏观调控政策措施，实施稳健货币政策，并根据经济金融运行的变化适时加以完善。密切观察经济金融形势的发展变化，落实好已出台的货币政策措施，准确把握力度和节奏，认真做好货币信贷工作，合理控制货币信贷增长，优化信贷结构。引导商业银行正确判断市场风险，及时为有市场、有效益、有利于增加就业的企业提供正常流动资金支持，切实支持符合国家产业政策和市场准入条件的项目建设。坚持以间接手段为主适时适度调控，提高金融调控的科学性、前瞻性和有效性。推进经济结构调整、体制改革和增长方式转变，保持经济平稳较快增长。,461.0
3,一是灵活运用数量型工具，适度调节金融体系流动性。,24.0
4,二是稳步推进利率市场化，更大程度地发挥市场在资源配置中的基础作用。,33.0
5,三是加强窗口指导，优化信贷结构和产业结构。,21.0
6,四是加快金融市场建设，提高货币政策传导效率。,22.0
7,五是推进金融企业改革，促进金融业可持续发展。,22.0
8,六是保持人民币汇率在合理、均衡水平上的基本稳定。第一部分货币信贷概况2004年以来，我国国民经济保持了良好的发展势头。金融宏观调控已见成效，货币信贷增幅逐季回落，人民币汇率稳定，金融平稳运行。一、货币供应量增幅继续回落6月末，广义货币M2余额23.8万亿元，同比增长16.2%，增幅比上年同期低4.6个百分点，比上年末低3.4个百分点。广义货币增速已连续4个月回落。,183.0
9,狭义货币M1余额8.9万亿元，同比增长16.2%，比上年同期低4个百分点，比上年末低2.5个百分点。6月份货币增速回落较快与去年6月基数高有关。流通中现金M0余额1.9万亿元，同比增长12.2%。上半年累计回笼现金728亿元，同比多回笼407亿元。二、金融机构贷款增势明显减缓上半年，全部金融机构（含外资，下同）本外币贷款增加1.56万亿元，同比少增3451亿元。,182.0
10,其中，人民币贷款增加1.43万亿元，同比少增3536亿元，比2002年同期多增6000亿元；外汇贷款增加156亿美元，同比多增10亿美元。6月末，金融机构本外币贷款余额18.1万亿元，同比增长16.7%，其中，人民币贷款余额16.99万亿元，同比增长16.3%，贷款增速同比明显减缓既与宏观调控见效有关，也与去年6月份贷款投放集中有关，去年6月份是历史上贷款投放最多的一个月。从贷款投向看，上半年人民币中长期贷款和农业贷款增加较多。农业贷款增加1713亿元，同比多增282亿元；中长期贷款增加7310亿元，同比多增717亿元，其中，基建贷款增加3383亿元，同比多增478亿元。人民币贷款同比少增的主要是短期贷款和票据贴现。,312.0
11,短期贷款增加5448亿元，同比少增1677亿元；票据贴现增加1223亿元，同比少增2195亿元。在国家实施宏观调控，固定资产高速增长势头得到抑制后，6月份基建贷款首次出现同比少增。6月份基建贷款增加805亿元，同比少增加186亿元。分机构看，上半年国有独资商业银行贷款增加6686亿元，同比少增3374亿元，股份制商业银行贷款增加2900亿元，同比少增888亿元，农村信用社贷款增加2565亿元，同比多增350亿元。三、储蓄存款增速减缓上半年，金融机构本外币存款增加2.18万亿元，同比少增1661亿元。,252.0
12,人民币各项存款增加2.17万亿元，其中，企业存款增加6335亿元，同比少增384亿元；储蓄存款增加1.02万亿元，同比少增522亿元。储蓄存款已经连续5个月同比少增。今年以来居民储蓄存款增速逐月减缓，储蓄存款增幅由年初1月末20.5%下降到6月末16.5%；从储蓄存款构成看，定期储蓄存款比重不断下降。定期储蓄存款增量占全部储蓄存款增量的比重一季度为62%，二季度为31%。6月末，全部金融机构本外币各项存款余额为24.22万亿元，同比增长17.1%。,226.0
13,其中，居民储蓄存款余额为12.04万亿元，同比增长14.5%，企业存款余额为8.41万亿元，同比增长18.7%。四、基础货币增长较快6月末，基础货币余额为5.13万亿元，增长19.2%，增幅比上年末提高2.4个百分点。6月末，金融机构超额存款准备金率3.75%，比5月末回升0.43个百分点。其中，国有独资商业银行超额存款准备金率为3.27%，股份制商业银行为6.5%，农村信用社为4.32%。五、市场利率基本平稳二季度，商业银行人民币协议存款（单笔金额在3000万元以上）利率略有上升。,244.0
14,其中61个月期的加权平均利率为3.78％，与上季持平；37个月期邮政储蓄协议存款加权平均利率为3.78%，比上季提高0.1个百分点。受国际金融市场利率上升影响，境内外币贷款、大额存款利率水平略有上升。4月以来，随着美联储加息预期的增强，伦敦同业市场美元利率一路上行，6月15日，一年期美元LIBOR已升至2.5％，达到24个月以来的高点。6月，商业银行1年期美元大额存款（300万美元以上）利率加权平均水平为1.43%，比上月上升0.17个百分点；1年期美元贷款固定利率加权平均水平为3.04%，比上月上升0.27百分点。（表1）上半年，货币市场利率回落后有所回升。,283.0
15,4月下旬以来，受节日和货币政策调控措施等因素影响，货币市场利率略有上升，4、5两月的银行间7天回购月度加权平均利率分别为2.06%和2.18%。6月的7天同业拆借和债券回购加权平均利率分别升至2.4和2.41%，分别比上月回升了0.16和0.23个百分点，比去年同期提高了0.3和0.25个百分点。六、人民币汇率稳定6月末，国家外汇储备为4706亿美元，比去年底增加674亿美元；人民币汇率为1美元兑换8.2766元人民币，继续保持稳定。第二部分货币政策操作2004年以来，人民银行认真贯彻落实党中央、国务院关于经济金融工作一系列方针政策，继续执行稳健的货币政策，主要运用经济手段加强总量调控，同时积极配合国家产业政策加强信贷投向引导，促进信贷结构调整。在调控方式和力度的掌握上，注意区别对待，有控有保，不搞“一刀切”，保持国民经济健康发展。,371.0
16,一、灵活开展公开市场操作，调控金融体系流动性今年以来，人民银行始终注意根据外汇占款和金融机构流动性情况，灵活调节公开市场对冲操作，适时调整中央银行票据发行数量和发行利率，保证商业银行正常的支付清算和合理的贷款资金需求，保持货币市场利率的基本稳定。,123.0
17,上半年，公开市场操作总体上是净投放基础货币，其中，外汇公开市场操作投放基础货币5357亿元；债券公开市场对冲操作回笼基础货币2978亿元，全部公开市场业务累计净投放基础货币2379亿元。其中，一季度，本币累计回笼2810亿元，外币累计投放2916亿元，本外币合计净投放106亿元，基本全额对冲了外汇占款增长。二季度，为实现“软着陆”，在其他宏观调控措施集中到位、财政存款上升较快的情况下，适当减缓了对冲操作力度，本外币合计净投放2273亿元。上半年，中国人民银行通过公开市场操作共发行央行票据6742亿元，6月末央行票据余额为6029亿元。二、再次提高法定存款准备金率经国务院批准，中国人民银行在2003年9月提高存款准备金率1个百分点后，于2004年4月25日再次提高法定存款准备金率0.5个百分点，即由7%提高到7.5%。,363.0
18,"为支持农业贷款发放和农村信用社改革，农村信用社和城市信用社暂缓执行，仍执行6%的存款准备金率。这次提高法定存款准备金率，主要是为了控制货币信贷总量过快增长，保持国民经济平稳快速健康发展。本次法定存款准备金率提高的幅度不大，商业银行仍可以保持正常的支付清算水平并具有平稳增加贷款的能力。三、实行再贷款浮息制度和差别存款准备金率制度经国务院批准，中国人民银行决定分别从3月25日和4月25日起实行再贷款浮息制度和差别存款准备金率制度。再贷款浮息制度是指中国人民银行在国务院授权的范围内,根据宏观经济金融形势,在再贷款(再贴现)基准利率基础上，适时确定并公布中央银行对金融机构贷款（贴现）利率加点幅度的制度。",301.0
19,综合考虑当前经济金融形势和支持中小企业融资的需要，人民银行决定将用于金融机构头寸调节和短期流动性支持的再贷款利率统一加0.63个百分点，再贴现利率加0.27个百分点。为支持农村经济发展，对农村信用社再贷款浮息分三年逐步到位，且到位后加点幅度减半执行。再贷款浮息制度是稳步推进利率市场化的又一重要步骤，有利于完善中央银行利率形成机制，理顺中央银行和借款人之间的资金利率关系，并逐步提高中央银行引导市场利率的能力。差别存款准备金率制度的主要内容是，金融机构适用的存款准备金率与其资本充足率、资产质量状况等指标挂钩。金融机构资本充足率越低、不良贷款比率越高，适用的存款准备金率就越高；反之，金融机构资本充足率越高、不良贷款比率越低，适用的存款准备金率就越低。,326.0
20,"对尚未进行股份制改革的国有独资商业银行和农村信用社、城市信用社暂缓执行差别存款准备金率制度。对金融机构实行差别存款准备金率制度，有利于抑制资本充足率较低且资产质量较差的金融机构盲目扩张贷款，防止金融宏观调控中出现“一刀切”，有利于促进我国金融平稳运行和健康发展,也为完善货币政策传导机制，提高货币政策的有效性奠定了基础。四、加强窗口指导，引导优化贷款结构今年以来，中国人民银行在主要运用经济手段加强总量调控的同时，认真贯彻落实国务院“区别对待、有控有保”的方针，积极配合国家产业政策加强对贷款投向的引导。",252.0
21,一是按月召开经济金融形势分析会，有针对性地对商业银行加强“窗口指导”和风险提示，提请商业银行合理把握贷款投放的进度和节奏，合理调整贷款审批权限和系统内利率，加强系统内资金调度，不断优化资金配置。,97.0
22,二是认真贯彻国务院精神，配合国家发改委等部门对重点地区和重点企业进行监督检查，并积极配合做好固定资产项目清理工作。但同时强调，各商业银行在授信总量内对符合市场准入条件、环保指标和技术指标好的企业，要按照信贷原则积极提供信贷支持。,114.0
23,三是引导金融机构加大对农业、中小企业、扩大消费、增加就业等方面的贷款支持。在农业方面，要求商业银行积极做好与农资资金供应相关的金融服务工作。同时积极推进农村信用社改革试点。在促进扩大就业方面，人民银行联合财政部、劳动保障部专门下发通知，完善下岗失业人员小额担保贷款管理办法，简化贷款担保和审批手续。在助学贷款方面，进一步完善了国家助学贷款风险防范补偿机制。,178.0
24,专栏1：宏观调控中的“区别对待”宏观经济调控的主要目的是“熨平”经济运行中的波动，促进经济平稳增长。但在经济运行中，无论在经济增长的高涨还是回落时期，不同行业和不同企业的市场需求、盈利能力、发展前景和融资环境等情况都不尽相同，宏观调控对其产生的影响也会有所差别。成熟的市场经济体系具有相对完善的“区别对待”的调节机制。比如，利率体系充分市场化，金融机构针对不同风险的企业贷款可以确定不同的利率风险溢价，有利于资金实现有效配置；市场上存在多种类型的金融机构，既能够为大企业提供全面服务，也可以对小企业服务进行融资支持；金融监管机制比较成熟有效，在资本充足要求下，质量较差的商业银行会主动控制其资产增长，有利于正向激励金融机构业务发展。我国由于市场经济体系的发展还不成熟，不同产业发展还不很协调，各项经济改革进程也不完全一致。,361.0
25,宏观调控中要综合把握总量控制、结构调整和机制建设等任务，在宏观调控方式和力度的掌握上，要注意区别对待，有控有保，不搞“一刀切”。2003年以来，人民银行继续执行稳健货币政策，主要运用经济手段加强总量调控，综合运用多种货币政策工具，区别对待、灵活有效地进行货币信贷调控。,134.0
26,一是根据不同时期市场流动性变化，灵活调整公开市场操作力度。2004年初，在商业银行短期流动性紧张时期，通过开展逆回购专场交易向商业银行融出短期资金，满足商业银行支付需要。二月中旬到4月份，针对外汇占款增加较多的状况，人民银行及时加大中央银行票据发行和公开市场操作力度，收回市场过多流动性。对由外汇占款投放的流动性大体进行了全额对冲。6月份，人民银行则相对减少了公开市场的对冲数量。,190.0
