,paragraph,length
0,在这种情况下，金融系统始终坚持稳中求进的工作总基调，按照高质量发展要求，迎难而上、扎实工作，推动宏观政策有效实施，金融服务实体经济力度加强，金融秩序不断好转，金融改革开放取得进展，实现了防范化解重大金融风险攻坚战的良好开局，为经济持续健康发展和社会大局稳定作出了贡献。,134.0
1,2018年，中国GDP同比增速6.6%，在全球主要经济体中居于前列；就业形势保持稳定，通货膨胀总体温和，国际收支保持平衡，外汇储备规模基本稳定。在当前全球经济复苏不确定性上升的大背景下，中国经济的平稳运行难能可贵，不仅为实现全面建成小康社会的第一个百年奋斗目标打下了坚实基础，也成为了支撑全球经济增长的重要力量。在肯定成绩的同时，我们也充分认识到，受内外部多重因素影响，中国经济中一些长期积累的深层次矛盾逐渐暴露，金融风险易发高发，经济增长面临的困难增多。从国际上看，世界经济增速“见顶回落”的可能性增加，全球范围内的单边主义和贸易保护主义情绪加剧，金融市场对贸易局势高度敏感，全球流动性状况的不确定性上升。国内方面，金融风险正在呈现一些新的特点和演进趋势，重点机构和各类非法金融活动的增量风险得到有效控制，但存量风险仍须进一步化解，金融市场对外部冲击高度敏感，市场异常波动风险不容忽视。,394.0
2,为有效防范化解风险，党中央、国务院作出打好防范化解重大金融风险攻坚战的重要决策部署，提出“稳定大局、统筹协调、分类施策、精准拆弹”的基本方针。过去的一年中，在国务院金融稳定发展委员会统一指挥协调下，人民银行会同相关部门，按照攻坚战总体要求，针对不同风险分类施策，对威胁金融稳定的重点领域风险，及时“精准拆弹”；对可能持续存在的潜在风险，采取主动措施进行逐步化解，实现“慢撒气、软着陆”；对体制机制性不足，持续推动监管改革，弥补监管短板；对将来可能显现的“黑天鹅”和“灰犀牛”风险，强化日常风险监测与评估，做好各类风险处置预案。同时，在风险化解和处置过程中，把握政策节奏和力度，适时预调微调，防范“处置风险的风险”，有效保障了金融市场和金融机构的平稳运行。通过一年多的集中整治和多措并举，我们在防范化解金融风险方面取得积极进展。,363.0
3,一是有效稳住了宏观杠杆率。宏观上管好货币总闸门，微观上推动企业降杠杆、控制居民杠杆率过快增长、积极化解地方政府隐性债务，使宏观杠杆率高速增长势头得到初步遏制。,79.0
4,二是平稳有序处置高风险机构。坚持全面依法依规，果断对包商银行实施接管，最大限度地保护存款人和其他客户合法权益，并坚决打破刚性兑付，强化市场纪律。果断实施接管发挥了及时“止血”作用，避免了风险进一步恶化，接管托管工作进展顺利，未出现客户挤兑等群体性事件。,126.0
5,三是大力整顿金融秩序。扎实推进互联网金融风险专项整治，继续严厉打击非法集资活动，稳步推进各类交易场所清理整顿工作，稳妥有序压降存量风险。,68.0
6,四是应对金融市场波动风险。综合运用多种政策工具增加流动性供给，有效平抑市场短期波动，稳妥化解中小银行局部性、结构性流动性风险。有序处置民营企业债券违约事件，稳步推进股票质押风险纾解工作。有效应对跨境资本流动冲击，保持人民币汇率在合理均衡水平上的基本稳定。,127.0
7,五是补齐监管制度短板。出台资管新规及配套实施细则，整治金融市场乱象，影子银行无序发展风险得到控制。发布系统重要性金融机构监管相关指引文件，研究制定金融控股公司监督管理试行办法，完善金融监管制度。总体来看，我国金融风险由前几年的快速积累逐渐转向高位缓释，已经暴露的金融风险正得到有序处置，金融市场平稳运行，金融监管制度进一步完善，守住了不发生系统性金融风险的底线。展望未来，全球经济金融动荡源和风险点仍在增多，国内经济下行压力有所加大，潜在风险隐患短时间内难以消除，但中国经济的韧性仍然较强，居民储蓄率高，微观基础充满活力，重要金融机构运行稳健，宏观政策工具充足，监管体制机制健全，防范化解风险经验丰富，我们完全有能力、有信心、有条件战胜各种困难和挑战。,326.0
8,面对国内外复杂局势，我们要做的就是时刻保持清醒，把握长期大势，抓住主要矛盾，善于化危为机，办好自己的事。要继续坚持稳中求进工作总基调，坚持以供给侧结构性改革为主线，坚持推进改革开放，紧紧围绕“巩固、增强、提升、畅通”八字方针，下大力气做好稳就业、稳金融、稳外贸、稳外资、稳投资、稳预期各项工作。要推动优化融资结构和金融机构体系、市场体系、产品体系，进一步提高金融供给对实体经济的适应性和灵活性。要坚决打好防范化解重大金融风险攻坚战，平衡好稳增长与防风险的关系，压实各方责任，稳妥处置和化解各类风险隐患，守住不发生系统性金融风险底线，最大限度地保护广大人民群众合法权益。第一部分宏观经济运行情况2018年，中国经济保持平稳，经济结构持续优化，但经济发展面临的国内外形势更加复杂严峻，贸易摩擦带来的不确定性成为影响全球经济的重要因素，中国经济运行稳中有变、变中有忧，经济面临压力。,388.0
9,下一步，要坚持稳中求进工作总基调，统筹推进稳增长、促改革、调结构、惠民生、防风险、保稳定工作，进一步稳就业、稳金融、稳外贸、稳外资、稳投资、稳预期，提振市场信心，保持经济持续健康发展和金融市场稳定。一、国际宏观经济金融环境（一）主要经济体经济形势2018年以来，全球经济总体延续增长态势，但经济增长的同步性下降，未来经济增长的下行风险上升。美国经济总体稳健，欧元区经济增长放缓，日本经济波动性增大，新兴市场经济体增长出现分化。美国经济冲高回落，通胀及就业数据总体稳健。美国2018年各季度国内生产总值（GDP）环比折年率增速分别为2.5%、3.5%、2.9%和1.1%，全年增长2.9%。,294.0
10,通胀见高回落，至2018年6月、7月居民消费价格指数（CPI）一度高达2.9%，后逐渐回落至11月、12月的2.2%、1.9%；剔除波动性较高的能源、食品后，同期核心CPI温和上涨，自3月起始终保持略高于2%的水平。,108.0
