,paragraph,length
0,中国金融稳定报告2015中国人民银行金融稳定分析小组综述2014年，全球经济总体缓慢复苏，主要经济体经济走势和货币政策分化明显。我国宏观经济在新常态下保持平稳运行，金融业改革积极有序推进，金融机构实力不断增强，金融市场创新发展加快，金融基础设施建设不断完善，金融体系总体稳健，服务经济社会能力不断增强。金融业健康发展。银行业资产负债规模继续扩大，支持“三农”、小微企业力度持续增强，薄弱领域的信贷投入继续加大，资本充足水平持续提高，拨备整体稳定，风险弥补和损失吸收能力较强。证券期货业经营机构整体运营稳健，行业创新能力不断提升，监管转型继续深化，市场基础性制度建设稳步推进，双向开放取得积极进展。,298.0
1,保险业资产规模持续增长，保费收入快速增加，资金运用收益大幅提高，经营效益显著提升，风险保障能力进一步提高。金融市场稳健运行。各项改革和发展措施稳步推进，市场交易活跃，产品创新不断深化，市场制度逐步完善，多层次资本市场建设稳步推进。货币市场利率波动幅度减小，市场压力有所下降。债券市场投资者类型更加丰富，公司信用类债券发行增速明显提高。,167.0
2,股票指数震荡上行，股票融资规模上升。期货市场成交量有所增长，国债期货重启后运行平稳。人民币利率衍生品市场交易活跃度明显上升，产品品种进一步增加。金融基础设施建设继续稳步推进。支付、清算和结算体系建设不断完善，农村地区支付环境持续改善。,117.0
3,金融法制建设深入推进，一系列金融法律法规和司法解释发布。会计标准建设稳步推进，政府和企业会计准则体系不断完善。征信业规范发展，社会信用体系建设稳步推进。反洗钱管理改革持续深化，制度建设和监测工作继续推进。随着中国经济发展方式的转变、经济结构的调整以及国际经济金融形势变化，中国金融体系可能面临更多的内外部冲击和压力。,158.0
4,国际方面，世界经济正处于国际金融危机后的深刻再平衡调整期，增长动力依然不足，主要经济体复苏进程和货币政策取向继续分化，新兴市场经济体面临国际金融环境变动和自身潜在增长速度下降的双重挑战，国际资本流动、主要货币汇率和大宗商品价格波动较大，地缘政治等非经济扰动因素影响加大，环境复杂多变。,142.0
5,国内方面，经济增长从高速增长转向中高速增长，传统增长引擎减弱、淘汰过剩产能与新兴产业发展并存，在结构调整的过程中，过去经济高速发展阶段潜在的矛盾问题逐步“水落石出”，转轨过程中的一些风险隐患正在逐渐显性化。,103.0
6,全社会债务水平上升，商业银行不良贷款持续反弹，房地产市场出现一定调整，地方政府性债务、影子银行、民间融资等领域的潜在风险值得关注，部分金融机构创新业务或新型金融业态的跨市场风险隐患也不容忽视。2015年，面对复杂的国际国内经济形势，要全面贯彻党的十八大、十八届三中、四中全会精神，坚持稳中求进工作总基调，主动适应经济发展新常态，把转方式调结构放在更加重要位置，继续实施积极的财政政策和稳健的货币政策，更加注重松紧适度，适时适度预调微调，促进经济健康发展。大力推动金融改革开放，坚持全面深化改革，完善金融体制机制，健全和完善金融体系。加强对重点领域金融风险的监测分析，动态排查风险隐患，切实防范化解各类金融风险。充分发挥金融监管协调部际联席会议制度功能，加强金融政策的协调和落实。,339.0
7,优化金融环境，强化市场机制的约束作用，扎实做好存款保险制度实施工作，完善金融安全网。强化底线思维，采取综合措施，牢牢守住不发生系统性区域性风险的底线。第一章国际经济金融环境2014年，全球经济仍处于深度调整期，总体缓慢复苏，但增长动力依然不足，主要经济体经济表现和货币政策分化明显，国际金融市场波动较大，主要货币对美元贬值，大宗商品价格整体下跌，地缘政治等非经济扰动因素增多。展望2015年，各经济体能否在低通胀环境下，通过结构性改革提高经济潜在增长率，将成为促进经济平稳发展的关键。一、主要经济体经济形势2014年，世界经济呈缓慢复苏态势，主要发达经济体增长速度较上年有所加快，新兴市场经济体增长虽仍快于发达经济体，但速度减慢。,315.0
8,美国经济增长动力持续增强，美联储资产购买计划稳步退出。欧元区经济复苏缓慢，且伴随较大的通缩压力。日本经济在消费税率提高前强劲反弹，而后增速大幅下降，长期挑战仍存。新兴市场经济体增长放缓，脆弱性进一步上升。美国经济复苏动力强劲。,113.0
9,美国经济除在2014年第一季度短暂收缩外，从第二季度开始，在企业投资大幅增长、房地产市场持续回暖以及消费和出口增长等因素的共同驱动下，经济持续稳健复苏，全年国内生产总值（GDP）增长2.4%，创四年来最大升幅。,105.0
10,长期宽松的货币政策以及放缓的财政整顿节奏助推经济复苏，由于选择时机较为适宜，退出资产购买计划也未对经济增长造成明显影响。劳动力市场进一步改善，平均每月新增就业岗位20.8万个，失业率持续走低，从2013年末的6.7%稳步降至12月末的5.6%，为2008年6月以来最低水平；全年通胀水平除第二季度达到2.0%外均处于低位，12月居民消费价格（CPI）同比仅上涨0.8%；美国供应管理协会（ISM）公布的制造业采购经理人指数（PMI）全年均位于50荣枯线以上。此外，贸易赤字略有上升，达5050亿美元，较上年增长6.0%。欧元区经济复苏缓慢，且伴随较大的通缩压力。2014年，欧元区GDP同比增长0.9%，其中各季度环比分别增长0.3%、0.1%、0.2%和0.3%。,333.0
11,但自第二季度以来，经济增长再度放缓，投资乏力，虽然欧央行在6月出台了一揽子宽松货币政策，并在9月进一步推出了新的资产购买计划，仍未从根本上提振欧元区经济。失业率虽较2013年略有下降，但仍维持在11.4%以上的高位。特别是，欧元区物价全年维持低位，12月综合物价指数（HICP）同比下降0.2%，其中能源价格同比大跌6.3%，剔除能源和食品后，HICP同比上升0.7%，低于预期，通缩压力增大。日本经济增速大幅下降。2014年日本实际GDP同比增长0.0%，其中第一季度在突击消费带动下，经济增速环比大幅反弹至5.1%，此后受消费税率上调和内需萎缩、投资疲弱等因素影响，增速明显回落，后三个季度实际GDP环比分别增长-6.4%、-2.6%和1.5%。,325.0
